movie_A,movie_B,target
29339,118957,0
609681,299537,1
315162,536554,1
672,767,1
385687,447365,1
672,675,1
476299,457,0
1241982,762509,1
10409,39538,0
290859,296,1
393,1991,1
17139,72334,0
269149,293660,1
243683,332,0
950,278154,1
400155,76492,1
552524,1087192,1
4291,8839,0
57158,49051,1
286217,253412,1
10192,809,1
939243,762509,1
744,361743,1
641960,11040,0
615453,635389,1
24951,50211,0
10138,1724,1
269149,140300,1
11186,558449,0
452551,1951,0
944401,248212,0
505642,284054,1
603,604,1
8966,812,1
603692,447365,1
1895,1891,1
808,809,1
557,1930,1
1151031,1242011,1
2062,920,1
11172,158916,0
564,1735,1
10437,10874,1
657,714,1
694,185,1
11,1895,1
50620,50619,1
87101,534,1
393,500,1
26391,653910,0
760873,932430,0
41402,9333,0
615457,634528,1
7861,55725,0
803,1938,0
121,49051,1
11679,598331,0
567604,566872,0
88794,26598,0
8966,50620,1
38365,14560,1
24,184,1
10895,852438,0
671,675,1
1930,559,1
453395,338953,1
1775,924482,0
912649,539972,1
1234821,1087192,1
296096,222935,1
31597,276907,0
353491,21873,0
1043905,1081012,1
49084,11927,0
602211,667216,0
346364,49018,1
317091,668489,0
507086,718789,1
602654,621013,0
76600,640146,1
1261825,597,1
564,1734,1
829560,664413,1
13650,49730,0
12445,674,1
27845,91010,0
31952,9893,0
36324,4256,0
14976,840705,0
970450,25338,0
353081,954,1
14161,435,1
843846,646389,0
102899,640146,1
407440,575264,0
28761,15789,0
324786,376867,1
58,166426,1
10140,2454,1
1726,562,1
370172,206647,1
35,2698,1
12536,771,1
337339,630004,0
812583,475557,1
250538,62214,0
35025,21131,0
857,98,1
497698,566525,1
646385,934433,1
20360,6877,0
1022787,1100988,1
285,166426,1
415,268,1
29084,216156,0
297762,1232449,0
400155,585083,1
572802,297802,1
1537,554908,0
5145,581600,0
214756,72105,1
12505,682377,0
571655,423108,0
585,862,1
261375,114168,0
110415,68724,1
541611,297961,0
169,346910,1
1280450,1241470,1
940551,866398,1
786918,1064486,0
652,616,1
16250,8927,0
863,10193,1
424,857,1
1734,1735,1
822119,100402,1
49527,931349,0
46064,172385,0
466282,447273,0
1124,1422,1
411,258034,0
575264,56292,1
667,657,1
9806,12,1
615457,578701,1
44251,11424,0
109414,79120,0
573435,1022789,1
634649,414906,1
812583,597,1
9316,31451,0
671,674,1
729120,81774,0
604079,14399,0
354857,5917,0
564,9738,1
4348,4584,1
39939,39939,1
301365,78237,0
570258,799379,0
575264,299054,1
1084199,950396,1
1012201,27066,0
634649,524434,1
453395,559907,1
15070,15255,1
1106289,1181540,1
16158,551332,0
4248,4256,1
20352,57800,1
291151,1419406,0
4348,58431,1
14533,356191,0
694,501170,1
993867,8224,0
1195518,846422,1
207703,476669,1
667538,298618,1
299536,99861,1
949423,11430,0
1995,9331,0
603692,502356,1
18,24,1
162145,710295,0
500664,11428,0
14544,115084,0
36557,36643,1
9872,12233,0
299054,138103,1
812,10020,1
305638,20625,0
287947,585511,0
1054867,533533,1
1241436,870028,1
11863,1624,0
673,767,1
10911,5924,0
9286,55779,1
1865,58,1
303991,1088166,0
1234821,329,1
474350,346364,1
1010581,1016121,1
348893,38234,1
1071215,50211,0
376290,37137,0
31867,1205656,0
77617,19379,0
11324,27205,1
